t1,st2,local_name,percent,numpeo,cx,cy
影視娛樂類,關注日本音樂者,北投區永明里,0.358264905391,2007.0,121.515221277,25.1176297872
運動體育類,關注體育：高爾夫球者,北投區永明里,0.0205955334988,83.0,121.515221277,25.1176297872
運動體育類,關注體育：棒球者,北投區永明里,0.467031199743,2904.0,121.515221277,25.1176297872
寵物生活類,關注水族寵物者,北投區永明里,0.318993216708,1787.0,121.515221277,25.1176297872
文化展覽類,關注展覽訊息者,北投區永明里,0.033762685402,173.0,121.515221277,25.1176297872
影視娛樂類,關注古典樂者,北投區永明里,0.0622991788647,349.0,121.515221277,25.1176297872
美食戶外旅遊類,關注素食料理者,北投區文林里,0.0285418821096,138.0,121.515062791,25.1084906977
影視娛樂類,關注歐美電視節目者,北投區文林里,0.370852092713,2224.0,121.515062791,25.1084906977
運動體育類,關注體育：網球者,北投區文林里,0.375046694061,2008.0,121.515062791,25.1084906977
影視娛樂類,關注日本音樂者,北投區文林里,0.354874859918,1900.0,121.515062791,25.1084906977
影視娛樂類,關注日本潮流哈日者,北投區文林里,0.423211605803,2538.0,121.515062791,25.1084906977
影視娛樂類,關注韓國電視節目者,北投區文林里,0.480201718341,2571.0,121.515062791,25.1084906977
影視娛樂類,音樂:韓國音樂,北投區文林里,0.190261797565,1141.0,121.515062791,25.1084906977
運動體育類,關注體育：自行車者,北投區文林里,0.0171755725191,72.0,121.515062791,25.1084906977
寵物生活類,關注狗寵物者,北投區文林里,0.379902876354,2034.0,121.515062791,25.1084906977
運動體育類,關注體育：跑步者,北投區文林里,0.0637021716649,308.0,121.515062791,25.1084906977
美食戶外旅遊類,關注日本料理者,北投區文林里,0.355435188644,1903.0,121.515062791,25.1084906977
運動體育類,關注體育：籃球者,北投區文林里,0.444722361181,2667.0,121.515062791,25.1084906977
文化展覽類,關注文化藝術訊息者,北投區文林里,0.214792678371,1150.0,121.515062791,25.1084906977
身體保健類,關注健康保健者,北投區文林里,0.436218109055,2616.0,121.515062791,25.1084906977
美食戶外旅遊類,關注速食者,北投區文林里,0.173328352634,928.0,121.515062791,25.1084906977
影視娛樂類,關注搖滾樂者,北投區文林里,0.0996714129244,546.0,121.515062791,25.1084906977
美食戶外旅遊類,關注烹飪者,北投區文林里,0.399533099883,2396.0,121.515062791,25.1084906977
運動體育類,關注體育：足球者,北投區文林里,0.423234964513,2266.0,121.515062791,25.1084906977
身體保健類,關注口腔牙齒治療者,北投區文林里,0.424378856095,2545.0,121.515062791,25.1084906977
美食戶外旅遊類,關注戶外休閒者,北投區文林里,0.426036608143,2281.0,121.515062791,25.1084906977
運動體育類,關注體育：賽車者,北投區文林里,0.0581178903826,281.0,121.515062791,25.1084906977
影視娛樂類,關注影視娛樂訊息者,北投區文林里,0.386526596632,2318.0,121.515062791,25.1084906977
運動體育類,關注體育：游泳者,北投區文林里,0.0451946637626,166.0,121.515062791,25.1084906977
影視娛樂類,關注日本電視節目者,北投區文林里,0.350205453866,1875.0,121.515062791,25.1084906977
運動體育類,關注體育：水上運動者,北投區文林里,0.118392529598,710.0,121.515062791,25.1084906977
美食戶外旅遊類,關注台式料理者,北投區文林里,0.0812823164426,393.0,121.515062791,25.1084906977
運動體育類,關注體育：格鬥與摔角者,北投區文林里,0.0797736400146,437.0,121.515062791,25.1084906977
美食戶外旅遊類,關注美式料理者,北投區文林里,0.191929297982,1151.0,121.515062791,25.1084906977
身體保健類,關注口腔牙齒美容者,北投區文林里,0.0684556407448,375.0,121.515062791,25.1084906977
學習教育類,關注教育學習者,北投區文林里,0.498082374521,2987.0,121.515062791,25.1084906977
運動體育類,關注體育：高爾夫球者,北投區文林里,0.0164870006341,52.0,121.515062791,25.1084906977
美食戶外旅遊類,關注旅遊資訊者,北投區文林里,0.202652222637,1085.0,121.515062791,25.1084906977
寵物生活類,關注貓寵物者,北投區文林里,0.115891278973,695.0,121.515062791,25.1084906977
影視娛樂類,關注韓國潮流哈韓者,北投區文林里,0.426783713112,2285.0,121.515062791,25.1084906977
寵物生活類,關注水族寵物者,北投區文林里,0.324617108704,1738.0,121.515062791,25.1084906977
運動體育類,關注體育：棒球者,北投區文林里,0.467733866933,2805.0,121.515062791,25.1084906977
影視娛樂類,關注電影者,北投區文林里,0.41203935301,2471.0,121.515062791,25.1084906977
